Site,Address,Category,Subcategory,Status,Longitude,Latitude
OCCCDA (Howell St.),900 E Howell St,SHARE FOOD PROGRAM,Food Site,Active,-75.09109297,40.03829077
Firm Hope Baptist Church,2311 E Auburn St,Small Things Philly,Food Site,Active,-75.11516023,39.98516475
South Philadelphia High School,2101 Broad St,PHILABUNDANCE,Food Site,Active,-75.16875455,39.92342268
Allegheny West Foundation,3101 N. 22nd St.,SHARE FOOD PROGRAM,Food Site,Active,-75.1658706,40.002056
University City Hospitality Coalition Hillel,215 S 39th St.,Office of Homeless Services,General Meal Site,Active,-75.20048616,39.95265454
Old First Reformed United Church of Christ,151 N. 4th St.,Office of Homeless Services,General Meal Site,Active,-75.14620403,39.9537641
South Philly Community Fridge at BOK Building,1901 S. 9th St.,Community Refrigerators,Food Site,Active,-75.16001603,39.92528785
Bebashi Community Fridge,1235 Spring Garden St.,Community Refrigerators,Food Site,Active,-75.15860053,39.96216055
East Falls Community Fridge at Vault + Vine,3507 Midvale Ave.,Community Refrigerators,Food Site,Active,-75.19259686,40.01365287
Fridges and Family at the People's Kitchen,1149 S. 9th St.,Community Refrigerators,Food Site,Active,-75.1586758,39.93501352
Germantown Community Fridge,20 W. Armat St.,Community Refrigerators,Food Site,Active,-75.17406988,40.03464838
Germantown Community Fridge,19 E. High St.,Community Refrigerators,Food Site,Active,-75.17729185,40.03978078
South Philly Community Fridge at Mifflin Sq. Park,516 Wolf St.,Community Refrigerators,Food Site,Active,-75.15637696,39.92005851
Umoja Community Fridge at North Philly Peace Park,2226 West Jefferson St.,Community Refrigerators,Food Site,Active,-75.17210739,39.97746454
Bethany Indonesian Church,1709 South Broad St,PHILABUNDANCE,Food Site,Active,-75.16836781,39.92894126
Feast for Friends,6001 Colgate St.,PHILABUNDANCE,Food Site,Active,-75.10014905,40.04464767
John Welsh School,2331 N. 4th Street,PHILABUNDANCE,Food Site,Active,-75.13924747,39.98660435
Kingdom Restoration Ministries,5310 N. 8th St.,PHILABUNDANCE,Food Site,Active,-75.13670952,40.03316787
Mi Salud Wellness Center,200 E. Wyoming Ave.,PHILABUNDANCE,Food Site,Active,-75.12222131,40.02100414
Project HOME,1845 N 23rd St.,PHILABUNDANCE,Food Site,Active,-75.17173498,39.98312443
Richard and Friends United in the Community,1921 E Venango St,PHILABUNDANCE,Food Site,Active,-75.10220307,39.99959059
The Word in Action International Ministries,1539 W. Courtland Street,PHILABUNDANCE,Food Site,Active,-75.15116168,40.02370488
Urban Creators,2315 N. 11th St.,PHILABUNDANCE,Food Site,Active,-75.1503022,39.9876218
Wynne Senior Residences - Penrose,2001 N. 54th St.,PHILABUNDANCE,Food Site,Active,-75.23153483,39.98693481
Association of Former Gang Members,1644 W. Susquehanna Ave.,SHARE FOOD PROGRAM,Food Site,Permanently Closed,-75.16079534,39.98672758
Old St. Joseph's Church,321 Willings Alley,Office of Homeless Services,General Meal Site,Active,-75.14759175,39.94657906
Stephen and Sandra Sheller 11th St. Family Health Services,850 N. 11th St.,Nutritional Development Services,Food Site,Active,-75.1551145,39.96793255
Feast of Justice - Northeast Services Hub,6334 Castor Ave,SHARE FOOD PROGRAM,Food Site,Active,-75.07853818,40.03856755
St. John Memorial Baptist Church,2853 Germantown Ave,PHILABUNDANCE,Food Site,Active,-75.14683638,39.99590174
Catholic Social Services Southwest,6214 Grays Ave.,BenePhilly,Public Benefits,Active,-75.22823869,39.92562457
Esperanza,4261 N. 5th St.,BenePhilly,Public Benefits,Active,-75.13416739,40.0162608
Impact Services,1952 E. Allegheny Ave.,BenePhilly,Public Benefits,Active,-75.11225925,39.99425745
"Impact Services at PA CareerLink, Northwest",5847 Germantown Ave.,BenePhilly,Public Benefits,Active,-75.17654958,40.03849176
Philadelphia FIGHT,1233 Locust St.,BenePhilly,Public Benefits,Active,-75.16194112,39.94815364
Office of Community Empowerment and Opportunity (CEO) Mobile Benefits Unit,,BenePhilly,Public Benefits,Active,,
UESF,1608 Walnut St.,BenePhilly,Public Benefits,Active,-75.16812461,39.94964137
Aramingo WIC Office,"2401 E. Tioga St., #A-4",WIC,Public Benefits,Active,-75.09815012,39.99146028
Lehigh WIC Office,217-33 W. Lehigh Ave.,WIC,Public Benefits,Active,-75.13551882,39.99240343
North Philadelphia WIC Office,"2709 N. Broad St., (Rear Entrance on Park Ave., 2nd Floor)",WIC,Public Benefits,Active,-75.15409138,39.9946995
Northeast WIC Office,7959 Bustleton Ave.,WIC,Public Benefits,Active,-75.05193378,40.05889808
Olney/Logan WIC Office,"5751 N. Broad St., Unit 5",WIC,Public Benefits,Active,-75.14393878,40.04125241
Overbrook WIC Office,"Overbrook Plaza, #1400, 5610 Lancaster Ave.",WIC,Public Benefits,Active,-75.23489215,39.9795656
South Philadelphia WIC Office,1165 S. Broad St.,WIC,Public Benefits,Active,-75.16666409,39.93591439
St. Christopher's WIC Office,"Nelson Pavilion Bldg., 160 Erie Ave.",WIC,Public Benefits,Active,-75.12701848,40.0060639
Woodland WIC Office,1741 S. 54th St.,WIC,Public Benefits,Active,-75.21908051,39.93708154
Germantown WIC Office,47 W. Chelten Avenue,WIC,Public Benefits,Active,-75.17608299,40.03513166
Prevention Point (Love Lot),2913 Kensington Ave.,Office of Homeless Services,General Meal Site,Active,,
Rising Sun Health Center,5675 N. Front St.,PHILABUNDANCE,Food Site,Active,,
Brothers of Strawberry Mansion,3218 W. Susquehanna Ave.,SHARE FOOD PROGRAM,Food Site,Active,,
First Church of Love and Deliverance,3101 Ridge Ave.,SHARE FOOD PROGRAM,Food Site,Active,,
Hickman Temple Daycare,1220 S. 58th,SHARE FOOD PROGRAM,Food Site,Active,,
Martin Luther King Jr. Association For Nonviolence Inc. (MLK),3001 Walnut St.,SHARE FOOD PROGRAM,Food Site,Active,,
Self Inc./Outley House,6901 Woodland Ave.,SHARE FOOD PROGRAM,Food Site,Active,,
Bethesda Project,907 Hamilton St.,Office of Homeless Services,General Meal Site,Active,,
"The Living Word Evangelistic Missionary Church, Inc.",872 N. 40th St.,Office of Homeless Services,General Meal Site,Active,,
Veterans Multi-Service Center,213-217 N. 4th St.,Office of Homeless Services,General Meal Site,Active,,
Keeping It Real Christian Fellowship Bread of Life Ministry,North 18th St. and Benjamin Franklin Parkway,Office of Homeless Services,General Meal Site,Active,,
There's Hope,Kensington Ave. and E. Hilton St.,Office of Homeless Services,General Meal Site,Active,,
Small Things Market at Emmanuel (inside of Resurrection Church),123 S 17th St,STP,General Meal Site,Active,,
Small Things Market at Emmanuel (inside of Resurrection Church),123 S 17th St,Small Things Philly,Food Site,Active,,
48th Street Mount Pleasant Baptist Church,5539 Vine St,PHILABUNDANCE,Food Site,Active,,
Abiding Truth Ministries,846 S 57th St.,PHILABUNDANCE,Food Site,Active,,
Anchor of Hope,53 E Wister St,PHILABUNDANCE,Food Site,Active,,
Bethany AME Church,8898 Ashton Rd,PHILABUNDANCE,Food Site,Active,,
Better Tomorrows - Jackie's Garden,1836 N 20th St,PHILABUNDANCE,Food Site,Active,,
Bless Philadelphia Corporation,4610 Devereaux St,PHILABUNDANCE,Food Site,Active,,
Breaking Bread on Broad,615 N Broad St,PHILABUNDANCE,Food Site,Active,,
Bryn Mawr Avenue New Testament Church of God,2227 Bryn Mawr Ave,PHILABUNDANCE,Food Site,Active,,
Calvary Agape Outreach Service,6114 Haverford Ave,PHILABUNDANCE,Food Site,Active,,
Campbell AME Church,1657 Kinsey St,PHILABUNDANCE,Food Site,Active,,
Casa Del Carmen,4400 N Reese St,PHILABUNDANCE,Food Site,Active,,
Chelten Christian Crusade,605 E Chelten Ave,PHILABUNDANCE,Food Site,Active,,
Chosen 300 Ministries Inc.,3959 Lancaster Ave,PHILABUNDANCE,Food Site,Active,,
Christ Apostolic Church of America WOSEM,6438 Vine St,PHILABUNDANCE,Food Site,Active,,
Church of Christian Compassion,6012 Cedar Ave,PHILABUNDANCE,Food Site,Active,,
Eddie's House - The Cornerstone,2321 N Broad St,PHILABUNDANCE,Food Site,Active,,
Einstein Medical Center,Corner of W Tabor Rd. and N Park Ave.,PHILABUNDANCE,Food Site,Active,,
Enon Tabernacle,230 W Coulter St,PHILABUNDANCE,Food Site,Active,,
Episcopal Community Services,6006 W Girard Ave,PHILABUNDANCE,Food Site,Active,,
Faith Assembly of God,1926-1940 Margaret St,PHILABUNDANCE,Food Site,Active,,
Faith Temple Pentecostal Church,5618 Kingsessing Ave,PHILABUNDANCE,Food Site,Active,,
First Church Worship Center,2509 N 30th St,PHILABUNDANCE,Food Site,Active,,
Freedom Development Corporation,6100 W Columbia Ave,PHILABUNDANCE,Food Site,Active,,
Giving of Self Partnership,6101 Limekiln Pike,PHILABUNDANCE,Food Site,Active,,
Grace Community Christian Center,29 W Johnson St,PHILABUNDANCE,Food Site,Active,,
Grace Lutheran Church,3529 Haverford Ave,PHILABUNDANCE,Food Site,Active,,
Greater Philadelphia Asian Social Service Center,4943 N 5th St,PHILABUNDANCE,Food Site,Active,,
Haitian Evangelical Baptist Church,814 E Chelten Ave,PHILABUNDANCE,Food Site,Active,,
Helping Hands for the Hungry,525 S. Cobbs Creek Parkway,PHILABUNDANCE,Food Site,Active,,
Holsey Temple CME Church,5305-5315 Germantown Ave,PHILABUNDANCE,Food Site,Active,,
Holy Temple Community Center,363 N 60th St,PHILABUNDANCE,Food Site,Active,,
Holy Temple Lord and Savior,5116 Market St,PHILABUNDANCE,Food Site,Active,,
Iglesia de Dios Pentecostal,516 W. Butler Street,PHILABUNDANCE,Food Site,Active,,
Lifeway Baptist Church,9554 Bustleton Ave,PHILABUNDANCE,Food Site,Active,,
Lutheran Settlement House Senior Center,1340 Frankford Ave,PHILABUNDANCE,Food Site,Active,,
Masjidullah Center for Human Excellence,7401 Limekiln Pike,PHILABUNDANCE,Food Site,Active,,
Mount Tabor CEED Corporation,961-971 N 7th St,PHILABUNDANCE,Food Site,Active,,
Mount Zion United Holy Church,4110 Haverford Ave,PHILABUNDANCE,Food Site,Active,,
New Jerusalem Laura,2011 W Norris St,PHILABUNDANCE,Food Site,Active,,
North Light Community Center,175 Green Ln,PHILABUNDANCE,Food Site,Active,,
One Day at a Time Haven II,2532 N Broad St,PHILABUNDANCE,Food Site,Active,,
Page Academy CDC,1524 W Champlost Ave,PHILABUNDANCE,Food Site,Active,,
Penn Asian Senior Services,6926 Old York Rd,PHILABUNDANCE,Food Site,Active,,
Pente Church of God,3027 N 5th St,PHILABUNDANCE,Food Site,Active,,
Philadelphia Episcopal Cathedral,19 S 38th St,PHILABUNDANCE,Food Site,Active,,
Police Athletic League Center - Ford,609 Snyder Ave,PHILABUNDANCE,Food Site,Active,,
Provision of Grace World Mission Church,1950 W Rockland St,PHILABUNDANCE,Food Site,Active,,
Refuge Evangelical Baptist Church,1100 Oak Ln,PHILABUNDANCE,Food Site,Active,,
Remnant Church of God,7708-7712 Ogontz Ave,PHILABUNDANCE,Food Site,Active,,
Saint Luke's Episcopal Church,5421 Germantown Ave,PHILABUNDANCE,Food Site,Active,,
Saint Michael's Lutheran Church,2139 E Cumberland St,PHILABUNDANCE,Food Site,Active,,
Saint Paul's Baptist Church,1000 Wallace St,PHILABUNDANCE,Food Site,Active,,
Salvation Army West Philadelphia Corps,5501 Market St,PHILABUNDANCE,Food Site,Active,,
Star of Hope Baptist Church,7212 Keystone St,PHILABUNDANCE,Food Site,Active,,
The Sunday Love Project,3200 Kensington Ave,PHILABUNDANCE,Food Site,Active,,
Truth Baptist Church,4666-4668 N 15th St,PHILABUNDANCE,Food Site,Active,,
Two Ladies of Christ,4125 Ludlow St,PHILABUNDANCE,Food Site,Active,,
Ujima Friends Peace Center,1701 W Lehigh Ave,PHILABUNDANCE,Food Site,Active,,
Waters Memorial Community Center,1016-1018 South St,PHILABUNDANCE,Food Site,Active,,
Wharton Wesley Helping Hands,5341 Catharine St,PHILABUNDANCE,Food Site,Active,,
Together We Can Change at Love Park,16th St. and JFK Blvd.,Office of Homeless Services,General Meal Site,Active,,
Together We Can Change at Aviator Park,1900-1958 Benjamin Franklin Pkwy,Office of Homeless Services,General Meal Site,Active,,
Locke School,4550 Haverford Ave,PHILABUNDANCE,Food Site,Active,,
The Everywhere Project (Love Park),N 15th St. and John F. Kennedy Blvd,Office of Homeless Services,General Meal Site,Active,,
The Everywhere Project (E. Clearfield St.),1810 E. Clearfield St.,Office of Homeless Services,General Meal Site,Active,,
Fresh Fire Apostolic International Ministries,2901 Cedar St.,SHARE FOOD PROGRAM,Food Site,Active,,
OCCCDA (Castor Ave),6500 Castor Ave,SHARE FOOD PROGRAM,Food Site,Active,,
Geiger Memorial Brethren Church,2543 W. Lehigh Ave.,SHARE FOOD PROGRAM,Food Site,Active,,
Denise's Pantry @ The Print Foundation,5843-55 Catharine St.,SHARE FOOD PROGRAM,Food Site,Active,,
Helping Hands Nonprofit Organization,4667 Paul St.,SHARE FOOD PROGRAM,Food Site,Active,,
True Vine Worship Center,521-23 W. Lehigh Ave.,SHARE FOOD PROGRAM,Food Site,Active,,
Small Things Philly Market - Fairhill,3510 A St.,Small Things Philly,Food Site,Active,,
African Family Health Organization,5400 Grays Ave,SHARE FOOD PROGRAM,Food Site,Active,,
Mighty Writers West,3520 Fairmount Ave.,PHILABUNDANCE/SHARE FOOD PROGRAM,Food Site,Active,,
First Haitian Church of God of Prophecy,199 E. Tabor Ave.,SHARE FOOD PROGRAM,Food Site,Active,,
,,,,,,
Epiphany Fellowship Church Community Fridge,1632 W Diamond St,Community Refrigerators,Food Site,Active,,
Friends Pantry & Community Fridge,320 Arch Street,Community Refrigerators,Food Site,Active,,
Mt. Airy Community Fridge,6900 Stenton Ave,Community Refrigerators,Food Site,Active,,
St James School Community Fridge,3217 West Clearfield St,Community Refrigerators,Food Site,Active,,
The People's Fridge,125 South 52nd St,Community Refrigerators,Food Site,Active,,
Ian-Yae's In Touch,2524 N. 27th St.,Office of Homeless Services,General Meal Site,Active,,
Brothers of Strawberry Mansion Clifford St.,3223 W Clifford St,SHARE FOOD PROGRAM,Food Site,Active,,
"Food Pantry For Hope, Memorial Presbyterian Church of Fox Chase",7902 Oxford Ave.,General Food Site,Food Site,Active,,
Narberth Presbyterian Church,200 N 19th St.,Office of Homeless Services,General Meal Site,Active,,
Small Things Philly Market - House of Hope,1300 W. Hunting Park Ave,Small Things Philly,Food Site,Active,,
Operation Save Our City,2774 Kensington Ave,Office of Homeless Services,General Meal Site,Active,,
Center-Philadelphia/Arch Street United Methodist,55 N. Broad Street,Office of Homeless Services,General Meal Site,Active,,
KCVC - Keeping It Real Christian Fellowship,17th & Benjamin Franklin Parkway,Office of Homeless Services,General Meal Site,Active,,
La Salle College High School,Benjamin Franklin Parkway and Vine St. (Logan Square next to Pennypacker Memorial),Office of Homeless Services,General Meal Site,Active,,
"Feeding 5,000 a NJ Non-Profit Corp",Logan Square (200 N 19th St.),Office of Homeless Services,General Meal Site,Active,,
Beulah Baptist Church,Love Park (JFK Blvd and N 15th St.),Office of Homeless Services,General Meal Site,Active,,
Episcopal Community Service St. Barnabas Community Resource Center,6006 West Girard Ave,SHARE FOOD PROGRAM,Food Site,Active,,
